order_id,order_date,due_date,material_type,destination,quantity_tonnes,priority
ORD_000001,2023-01-01,2023-01-13,TMT_Bars,Patna,216.92938600991016,MEDIUM
ORD_000002,2023-01-01,2023-01-13,Wire_Rods,Patna,486.5816359863029,HIGH
ORD_000003,2023-01-01,2023-01-04,Plates,Kolkata,400.2790047852571,LOW
ORD_000004,2023-01-01,2023-01-14,Pig_Iron,Ranchi,430.6755016747191,LOW
ORD_000005,2023-01-01,2023-01-12,Pig_Iron,Patna,115.76718746665665,HIGH
ORD_000006,2023-01-02,2023-01-05,Billets,Ranchi,476.5704377254837,HIGH
ORD_000007,2023-01-02,2023-01-05,Billets,Kolkata,221.95077394621575,MEDIUM
ORD_000008,2023-01-02,2023-01-09,Plates,Patna,441.17650326432863,HIGH
ORD_000009,2023-01-02,2023-01-13,Wire_Rods,Kolkata,68.03419857927227,LOW
ORD_000010,2023-01-02,2023-01-10,TMT_Bars,Ranchi,286.456178104042,LOW
ORD_000011,2023-01-02,2023-01-09,TMT_Bars,Durgapur,157.63840390930898,LOW
ORD_000012,2023-01-02,2023-01-12,HR_Coils,Kolkata,238.28209688590255,LOW
ORD_000013,2023-01-02,2023-01-11,Billets,Kolkata,226.16113646245262,MEDIUM
ORD_000014,2023-01-02,2023-01-16,TMT_Bars,Ranchi,303.40807942321806,LOW
ORD_000015,2023-01-02,2023-01-05,Plates,Patna,462.46656441397795,LOW
ORD_000016,2023-01-02,2023-01-08,TMT_Bars,Haldia,192.5884736837455,MEDIUM
ORD_000017,2023-01-02,2023-01-08,Wire_Rods,Haldia,172.4042460261419,MEDIUM
ORD_000018,2023-01-02,2023-01-12,CR_Coils,Haldia,475.487896540922,MEDIUM
ORD_000019,2023-01-03,2023-01-07,HR_Coils,Durgapur,445.1759470488835,HIGH
ORD_000020,2023-01-03,2023-01-16,CR_Coils,Durgapur,268.7423302700368,HIGH
ORD_000021,2023-01-03,2023-01-09,Pig_Iron,Ranchi,238.37546358029752,LOW
ORD_000022,2023-01-03,2023-01-11,HR_Coils,Haldia,303.6386079762661,LOW
ORD_000023,2023-01-03,2023-01-12,TMT_Bars,Patna,50.841205308303174,LOW
ORD_000024,2023-01-03,2023-01-11,Pig_Iron,Durgapur,111.20335717830946,MEDIUM
ORD_000025,2023-01-03,2023-01-12,TMT_Bars,Patna,434.6262632378241,MEDIUM
ORD_000026,2023-01-03,2023-01-15,CR_Coils,Patna,214.61207743744012,HIGH
ORD_000027,2023-01-03,2023-01-11,Plates,Haldia,254.82532338999505,LOW
ORD_000028,2023-01-03,2023-01-16,Wire_Rods,Kolkata,375.48145572910073,MEDIUM
ORD_000029,2023-01-03,2023-01-09,Plates,Haldia,241.03681905627687,MEDIUM
ORD_000030,2023-01-03,2023-01-09,Billets,Durgapur,339.15858155896535,LOW
ORD_000031,2023-01-03,2023-01-10,Plates,Haldia,334.39171486902444,LOW
ORD_000032,2023-01-03,2023-01-13,Billets,Durgapur,139.5377233587484,LOW
ORD_000033,2023-01-03,2023-01-15,Plates,Durgapur,51.85858511232308,MEDIUM
ORD_000034,2023-01-04,2023-01-14,Wire_Rods,Kolkata,198.91503852511744,MEDIUM
ORD_000035,2023-01-04,2023-01-16,Wire_Rods,Patna,123.20455589285221,MEDIUM
ORD_000036,2023-01-04,2023-01-09,TMT_Bars,Kolkata,145.113685904142,HIGH
ORD_000037,2023-01-04,2023-01-17,Billets,Haldia,360.4742634334178,LOW
ORD_000038,2023-01-04,2023-01-09,TMT_Bars,Kolkata,321.0500587164491,MEDIUM
ORD_000039,2023-01-05,2023-01-08,CR_Coils,Ranchi,227.53563062079854,LOW
ORD_000040,2023-01-05,2023-01-17,Wire_Rods,Ranchi,498.0120192299604,MEDIUM
ORD_000041,2023-01-05,2023-01-12,Plates,Kolkata,400.821388225509,MEDIUM
ORD_000042,2023-01-05,2023-01-18,CR_Coils,Durgapur,237.0281838658944,LOW
ORD_000043,2023-01-05,2023-01-13,TMT_Bars,Haldia,378.6853573120091,MEDIUM
ORD_000044,2023-01-05,2023-01-10,Pig_Iron,Durgapur,476.03269475350004,MEDIUM
ORD_000045,2023-01-06,2023-01-16,Billets,Haldia,100.6006925303794,LOW
