date,material_type,opening_stock_tonnes,production_tonnes,dispatched_tonnes,closing_stock_tonnes
2023-01-01,HR_Coils,20200.507969338127,16402.411005593636,1201.9030362555113,20200.507969338127
2023-01-01,CR_Coils,21432.42542821762,18720.704175687562,2288.2787474699435,21432.42542821762
2023-01-01,Plates,21150.721828771082,18594.389031822622,2443.667203051541,21150.721828771082
2023-01-01,Wire_Rods,26341.669976327,23773.324650298928,2431.654673971928,26341.669976327
2023-01-01,TMT_Bars,17677.26290078283,15123.548316490705,2446.285415707875,17677.26290078283
2023-01-01,Pig_Iron,25043.619563943943,21382.53513524202,1338.9155712980746,25043.619563943943
2023-01-01,Billets,25383.18645478159,22013.359363319127,1630.1729085375387,25383.18645478159
2023-01-02,HR_Coils,35833.727915718206,18321.576963389005,2688.357017008925,35833.727915718206
2023-01-02,CR_Coils,44014.89594455736,25379.25401679484,2796.783500455099,44014.89594455736
2023-01-02,Plates,38121.73987681092,18529.39582116957,1558.3777731297405,38121.73987681092
2023-01-02,Wire_Rods,46845.72592837913,21550.09498440763,1046.0390323555048,46845.72592837913
2023-01-02,TMT_Bars,32554.490350180804,17596.76134373019,2719.5338943322163,32554.490350180804
2023-01-02,Pig_Iron,43142.08270681446,19852.64681852068,1754.1836756501652,43142.08270681446
2023-01-02,Billets,46595.535601395626,22871.276258533915,1658.9271119198727,46595.535601395626
2023-01-03,HR_Coils,56715.41445131884,22575.685894977887,1693.9993593772513,56715.41445131884
2023-01-03,CR_Coils,59801.441136952504,17617.93804033043,1831.392847935283,59801.441136952504
2023-01-03,Plates,56202.02279734059,19836.816163839518,1756.5332433098422,56202.02279734059
2023-01-03,Wire_Rods,66813.9286099176,22101.064479805602,2132.861798267121,66813.9286099176
2023-01-03,TMT_Bars,52348.56438259633,20951.954589411904,1157.8805569963804,52348.56438259633
2023-01-03,Pig_Iron,63502.94773618752,23303.945417990093,2943.08038861703,63502.94773618752
2023-01-03,Billets,66355.06466039839,22632.431127947097,2872.9020689443223,66355.06466039839
2023-01-04,HR_Coils,71661.87329767332,17815.27213958547,2868.813293230998,71661.87329767332
2023-01-04,CR_Coils,82311.44567933292,25268.55979054424,2758.555248163827,82311.44567933292
2023-01-04,Plates,71084.07473803595,17202.70454505882,2320.6526043634594,71084.07473803595
2023-01-04,Wire_Rods,88393.72247908682,23022.010994666103,1442.2171254968648,88393.72247908682
2023-01-04,TMT_Bars,67676.54659945784,16426.94919115426,1098.9669742927447,67676.54659945784
2023-01-04,Pig_Iron,83613.19900292858,21308.8933963046,1198.6421295635332,83613.19900292858
2023-01-04,Billets,89858.55682811198,25151.4771686448,1647.9850009312113,89858.55682811198
2023-01-05,HR_Coils,93005.15973936829,23351.052492686544,2007.7660509915709,93005.15973936829
2023-01-05,CR_Coils,99548.87084076958,20223.93130380625,2986.506142369588,99548.87084076958
2023-01-05,Plates,91985.87032710061,22772.682572653845,1870.8869835891983,91985.87032710061
2023-01-05,Wire_Rods,107020.9000333569,20676.46973525283,2049.2921809827535,107020.9000333569
2023-01-05,TMT_Bars,81358.40872335774,16072.176618276057,2390.314494376161,81358.40872335774
2023-01-05,Pig_Iron,101747.6112483993,19495.880186366303,1361.4679408955926,101747.6112483993
2023-01-05,Billets,103560.9609549928,16568.058130005324,2865.6540031245113,103560.9609549928
2023-01-06,HR_Coils,111699.60701899696,20752.516491314134,2058.0692116854684,111699.60701899696
2023-01-06,CR_Coils,119239.43611454434,21243.0779649783,1552.512691203537,119239.43611454434
2023-01-06,Plates,114356.04236395894,25240.390009536008,2870.217972677681,114356.04236395894
2023-01-06,Wire_Rods,126579.15386765073,21809.15507141174,2250.9012371179006,126579.15386765073
2023-01-06,TMT_Bars,104519.33730855823,25128.308047698894,1967.379462498421,104519.33730855823
2023-01-06,Pig_Iron,119125.19045561955,19537.891027141795,2160.3118199215482,119125.19045561955
2023-01-06,Billets,121153.84887183682,20089.49235465447,2496.6044378104534,121153.84887183682
2023-01-07,HR_Coils,133195.52723295748,22804.99622134642,1309.0760073859067,133195.52723295748
2023-01-07,CR_Coils,133440.12243789493,16930.347184757036,2729.6608614064507,133440.12243789493
2023-01-07,Plates,130114.37022089887,18677.34147753636,2919.013620596426,130114.37022089887
2023-01-07,Wire_Rods,142865.22982552878,18420.075261378195,2133.999303500149,142865.22982552878
2023-01-07,TMT_Bars,119616.4228179303,17461.627202967262,2364.541693595196,119616.4228179303
2023-01-07,Pig_Iron,131569.88034306507,15164.356849137992,2719.666961692482,131569.88034306507
2023-01-07,Billets,134682.27653336868,15278.048924364866,1749.6212628330009,134682.27653336868
2023-01-08,HR_Coils,150783.62029216625,20573.756648973555,2985.6635897647966,150783.62029216625
2023-01-08,CR_Coils,143923.0575992228,12843.937899941655,2361.0027386137954,143923.0575992228
