date,loading_point_id,shift,tonnes_loaded,hours_operated,equipment_operational_count,equipment_maintenance_flag
2023-01-01,LP1,1,822.4801013322973,6.737949649180882,2,0
2023-01-01,LP1,2,476.62234045033983,7.964766024698651,2,0
2023-01-01,LP1,3,1316.1348088382329,7.03001167174267,3,0
2023-01-01,LP2,1,1093.8654366459073,6.497692186693288,3,0
2023-01-01,LP2,2,1361.9260772676914,7.072274121904016,3,0
2023-01-01,LP2,3,1227.1208323478172,7.262757415422849,2,0
2023-01-01,LP3,1,1098.0623715393745,6.525319258066419,2,0
2023-01-01,LP3,2,750.8396326704061,6.427694860836468,3,0
2023-01-01,LP3,3,1229.5398960634843,6.114183708096686,3,0
2023-01-02,LP1,1,855.5096898341105,6.744763470027434,2,0
2023-01-02,LP1,2,915.7926296462495,7.412442395122673,2,0
2023-01-02,LP1,3,1287.624238850922,7.74899799514423,3,0
2023-01-02,LP2,1,949.389271303384,7.775725991859822,2,0
2023-01-02,LP2,2,1042.4105723334535,6.939780486752285,3,0
2023-01-02,LP2,3,1355.4166346582733,7.9010981408496965,2,0
2023-01-02,LP3,1,1091.2297834143542,6.181322076378812,3,0
2023-01-02,LP3,2,679.956924077969,7.316818858446815,2,0
2023-01-02,LP3,3,1310.168743413445,7.599677598586943,2,0
2023-01-03,LP1,1,594.5566806242663,6.764187259507555,2,0
2023-01-03,LP1,2,1461.7172149461205,7.948789639242151,2,0
2023-01-03,LP1,3,1388.3390321294114,6.405773954696752,2,0
2023-01-03,LP2,1,1187.4444452082196,6.102012423925311,2,0
2023-01-03,LP2,2,555.1797513177576,7.575563867187382,2,0
2023-01-03,LP2,3,1153.434917036606,6.698614604008942,3,0
2023-01-03,LP3,1,539.3701738782424,7.574704041332383,3,0
2023-01-03,LP3,2,477.17079646267536,6.68383338031534,3,0
2023-01-03,LP3,3,1378.0456868037736,6.98778130811233,3,0
2023-01-04,LP1,1,944.1486187124802,7.3160664992762525,2,0
2023-01-04,LP1,2,731.2629901793696,7.262377962415278,2,0
2023-01-04,LP1,3,1023.5811493654868,6.417666789212482,2,0
2023-01-04,LP2,1,1065.6055738792002,7.933748504902967,2,0
2023-01-04,LP2,2,500.6046737026967,6.3688338903778785,3,0
2023-01-04,LP2,3,843.4625053865857,7.117111400729578,2,0
2023-01-04,LP3,1,856.7726962502481,7.286296846982525,3,0
2023-01-04,LP3,2,535.853226882123,7.446982345606875,3,0
2023-01-04,LP3,3,1429.465890745874,7.109761242046417,2,0
2023-01-05,LP1,1,604.417045341118,6.135645317225832,2,0
2023-01-05,LP1,2,1441.4995294557089,6.9336798611728305,2,0
2023-01-05,LP1,3,464.59256438329777,6.071524720092197,2,0
2023-01-05,LP2,1,527.3289811844471,6.582192958437906,2,0
2023-01-05,LP2,2,579.153345389593,6.554214424346202,3,0
2023-01-05,LP2,3,1299.162579852899,6.850070998102476,2,0
2023-01-05,LP3,1,979.1588637113745,6.171153006389612,2,0
2023-01-05,LP3,2,668.1663315503204,7.778456128391466,3,0
2023-01-05,LP3,3,1030.6829468055241,7.165221330994553,2,0
